name,genre
 Before the Daybreak ,
 Before You Exit ,Pop/Rock
 Bei Bei ,Alternative Rap
 Bei Maejor ,R&B/Soul
 Belanova ,Rock
 Belarus ,
 Belinda ,Rock
 Belinda Carlisle ,Rock
 Bell Biv DeVoe ,R&B/Soul
 Bella Thorne ,
 Belle and Sebastian ,Rock
 Belo Cozad ,World/Reggae
 Ben Colder ,Country
 Ben E. King ,R&B/Soul
 Ben Folds ,Rock
 Ben Haenow ,Rock
 Ben Harper ,R&B/Soul
 Ben Howard ,Contemporary Singer/Songwriter
 Ben Kweller ,Alternative
 Ben Lee ,Rock
 Ben Sidran ,Jazz
 Ben Smith ,Country
 Benise ,
 Benito di Paula ,World/Reggae
 Benjamin Booker ,Rock
 Benjamin Francis Leftwich ,Singer/Songwriter
 Benjamin Luxon ,Blues/Folk
 Benjamin Malgo ,
 Benjamin Orr ,Rock
 Benjy Gaither ,
 Benny Benassi ,House
 Benny Laws ,
 Benny Mardones ,Rock
 Benny Martin ,Country
 Benny Rodriguez ,
 Benny Velez ,
 Beres Hammond ,Soul
 Berlin ,Pop/Rock
 Bernadette Peters ,Pop
 Bernardino Custodio ,
 Berthe Sylva ,
 Bertin y Lalo ,
 Beryl Reid ,
 Best Coast ,Indie Rock
 Beth Orton ,Rock
 Beth Wood ,Blues/Folk
 Bethany Dillon ,
 Bette Midler ,Pop
 Better Than Ezra ,Rock
 Betty Boop ,
 Betty Hutton ,Soundtracks/Musicals
 Betty Wright ,R&B/Soul
 Between California and Summer ,Alternative
 Between the Buried and Me ,Rock
 Beverly Champion ,
 Beverly Crawford ,Inspirational
 Beverly Rush ,
 Beyonc ,Pop
 Beyond ,Metal
 Bgee ,Hip-Hop/Rap
 Bhai Baldev Singh Vadala ,
 Bhai Pinderpal Singh Ji ,
 Bhalchandra Pendharkar ,
 Bhanupriya ,
 Bhudaza ,
 Bibi Zhou ,
 Biddu ,R&B
 Biffy Clyro ,Alternative
 Big Al Downing ,Rock
 big and rich ,Country
 Big Blue Hearts ,
 Big Chief (Rock) ,Alternative
 Big Country ,Rock
 Big Country Bluegrass ,
 Big Daddy Weave ,Christian & Gospel
 Big Dipper ,Alternative
 Big Doc ,
 Big Dut ,
 Big E (New Hights) ,Rap
 Big Freedia ,Dance
 Big Greg ,Hip-Hop/Rap
 Big House (Country) ,Country
 Big Jay ,
 BIG K.R.I.T ,Hip-Hop
 Big Kenny ,Rock
 Big L ,Hip-Hop/Rap
 Big Nuz ,
 Big Pokey ,Hip-Hop
 Big Punisher ,Hip-Hop/Rap
 Big Red  Bus ,
 Big Rhythm Combo ,
 Big Sean ,
 Big Sky Stringband ,
 Big SMO ,Country
 Big Time Rush ,Pop
 Big Tittie Nickie ,
 Big Tom ,
 Big Tree ,Indie Rock
 Big Trip ,
 Bigal y L Jake ,Latino
 BigBang ,Hip-Hop/Rap
 BigDawg Chino ,Hip-Hop/Rap
 Biggi Bardot ,
 BiggPatch ,Hip-Hop/Rap
 Bigmala ,Dancehall
 BigTim ,
 Bijelo dugme ,
 Bikini ,
 Bilal ,Soul
 BILL  KAULITZ ,
 Bill  Gloria Gaither ,Inspirational
 Bill Anderson ,
 Bill Anderson ,Traditional Country
 Bill Blankenship ,
 Bill Browning ,
 Bill Bruford ,Rock
 Bill Bryant ,
 Bill Campbell ,
 Bill Carlisle ,Country
 Bill Cosby ,Pop
 Bill Evans ,Jazz
 Bill Harrell  The Virginians ,Country
 Bill Keith ,Country
 Bill McCorvey ,
 Bill Medley ,Soul
 Bill Monroe ,Country
 Bill Pekar ,
 Bill Spencer ,Reggae
 Bill Staines ,Blues/Folk
 Bill Taft ,
 Bill Watrous ,Jazz
 Bill Whitaker ,
 Bill Withers ,Soul
 Billie Holiday ,Jazz
" Billy ""Crash"" Craddock ",Country
" Billy ""Soul"" Bonds ",
 Billy Bob Thornton ,Rock
 Billy Butler ,Dance/Electronic
 Billy Chernoff ,
 Billy Currington ,Country
 Billy Davidson ,
 Billy Dean ,Country
 Billy Don Burns ,Country
 Billy Droze ,
 Billy Eldridge ,
 Billy Falcon ,Classic Rock
 Billy Gilman ,Country
 Billy Goat Hill ,
 Billy Grammer ,Country
 Billy Griffin ,R&B/Soul
 Billy Hinsche ,
 Billy Idol ,Punk
 Billy Joe Royal ,Country
 Billy Joe Shaver ,Country
 Billy Joel ,Rock
 Billy Keen ,
 Billy Leach ,
 Billy Lord ,
 Billy McKnight ,
 Billy Meshel ,
 Billy Momo ,Alternative
 Billy Montana ,Country
 Billy Ocean ,Rock
 Billy Paul ,Soul
 Billy Ray Cyrus ,Country
 Billy Squier ,Rock
 Billy Strange ,Rock
 Billy Walker ,Country
 Billy Williams ,
